Date,Content,Video title,Video publish time,Duration,Views
2025-10-15,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-16,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-17,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-18,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-19,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-20,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-21,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-22,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-23,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-24,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-25,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-26,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-27,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-28,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-29,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-30,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-31,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-11-01,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,98
2025-11-02,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,136
2025-11-03,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,64
2025-11-04,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,15
2025-11-05,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,5
2025-11-06,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,5
2025-11-07,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,5
2025-11-08,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,10
2025-11-09,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,9
2025-11-10,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,1
2025-11-11,OQdoh3ZlgRw,for the first part of the journey | the return of el ligardo,"Nov 1, 2025",21,0
2025-10-15,WaLvq6e2Nxg,the sound of something ending before it even began...,"Nov 12, 2025",19,0
2025-10-16,WaLvq6e2Nxg,the sound of something ending before it even began...,"Nov 12, 2025",19,0
2025-10-17,WaLvq6e2Nxg,the sound of something ending before it even began...,"Nov 12, 2025",19,0
2025-10-18,WaLvq6e2Nxg,the sound of something ending before it even began...,"Nov 12, 2025",19,0
2025-10-19,WaLvq6e2Nxg,the sound of something ending before it even began...,"Nov 12, 2025",19,0
2025-10-20,WaLvq6e2Nxg,the sound of something ending before it even began...,"Nov 12, 2025",19,0
2025-10-21,WaLvq6e2Nxg,the sound of something ending before it even began...,"Nov 12, 2025",19,0
2025-10-22,WaLvq6e2Nxg,the sound of something ending before it even began...,"Nov 12, 2025",19,0
2025-10-23,WaLvq6e2Nxg,the sound of something ending before it even began...,"Nov 12, 2025",19,0
2025-10-24,WaLvq6e2Nxg,the sound of something ending before it even began...,"Nov 12, 2025",19,0
2025-10-25,WaLvq6e2Nxg,the sound of something ending before it even began...,"Nov 12, 2025",19,0
2025-10-26,WaLvq6e2Nxg,the sound of something ending before it even began...,"Nov 12, 2025",19,0
2025-10-27,WaLvq6e2Nxg,the sound of something ending before it even began...,"Nov 12, 2025",19,0
2025-10-28,WaLvq6e2Nxg,the sound of something ending before it even began...,"Nov 12, 2025",19,0
2025-10-29,WaLvq6e2Nxg,the sound of something ending before it even began...,"Nov 12, 2025",19,0
2025-10-30,WaLvq6e2Nxg,the sound of something ending before it even began...,"Nov 12, 2025",19,0
2025-10-31,WaLvq6e2Nxg,the sound of something ending before it even began...,"Nov 12, 2025",19,0
2025-11-01,WaLvq6e2Nxg,the sound of something ending before it even began...,"Nov 12, 2025",19,0
2025-11-02,WaLvq6e2Nxg,the sound of something ending before it even began...,"Nov 12, 2025",19,0
2025-11-03,WaLvq6e2Nxg,the sound of something ending before it even began...,"Nov 12, 2025",19,0
2025-11-04,WaLvq6e2Nxg,the sound of something ending before it even began...,"Nov 12, 2025",19,0
2025-11-05,WaLvq6e2Nxg,the sound of something ending before it even began...,"Nov 12, 2025",19,0
2025-11-06,WaLvq6e2Nxg,the sound of something ending before it even began...,"Nov 12, 2025",19,0
2025-11-07,WaLvq6e2Nxg,the sound of something ending before it even began...,"Nov 12, 2025",19,0
2025-11-08,WaLvq6e2Nxg,the sound of something ending before it even began...,"Nov 12, 2025",19,0
2025-11-09,WaLvq6e2Nxg,the sound of something ending before it even began...,"Nov 12, 2025",19,0
2025-11-10,WaLvq6e2Nxg,the sound of something ending before it even began...,"Nov 12, 2025",19,0
2025-11-11,WaLvq6e2Nxg,the sound of something ending before it even began...,"Nov 12, 2025",19,406
2025-10-15,Z2xkaNbY3YU,lidro larâgos | erupt like a hurricane,"Oct 25, 2025",18,0
2025-10-16,Z2xkaNbY3YU,lidro larâgos | erupt like a hurricane,"Oct 25, 2025",18,0
2025-10-17,Z2xkaNbY3YU,lidro larâgos | erupt like a hurricane,"Oct 25, 2025",18,0
2025-10-18,Z2xkaNbY3YU,lidro larâgos | erupt like a hurricane,"Oct 25, 2025",18,0
2025-10-19,Z2xkaNbY3YU,lidro larâgos | erupt like a hurricane,"Oct 25, 2025",18,0
2025-10-20,Z2xkaNbY3YU,lidro larâgos | erupt like a hurricane,"Oct 25, 2025",18,0
2025-10-21,Z2xkaNbY3YU,lidro larâgos | erupt like a hurricane,"Oct 25, 2025",18,0
2025-10-22,Z2xkaNbY3YU,lidro larâgos | erupt like a hurricane,"Oct 25, 2025",18,0
2025-10-23,Z2xkaNbY3YU,lidro larâgos | erupt like a hurricane,"Oct 25, 2025",18,0
2025-10-24,Z2xkaNbY3YU,lidro larâgos | erupt like a hurricane,"Oct 25, 2025",18,132
2025-10-25,Z2xkaNbY3YU,lidro larâgos | erupt like a hurricane,"Oct 25, 2025",18,150
2025-10-26,Z2xkaNbY3YU,lidro larâgos | erupt like a hurricane,"Oct 25, 2025",18,5
2025-10-27,Z2xkaNbY3YU,lidro larâgos | erupt like a hurricane,"Oct 25, 2025",18,90
2025-10-28,Z2xkaNbY3YU,lidro larâgos | erupt like a hurricane,"Oct 25, 2025",18,2
2025-10-29,Z2xkaNbY3YU,lidro larâgos | erupt like a hurricane,"Oct 25, 2025",18,0
2025-10-30,Z2xkaNbY3YU,lidro larâgos | erupt like a hurricane,"Oct 25, 2025",18,1
2025-10-31,Z2xkaNbY3YU,lidro larâgos | erupt like a hurricane,"Oct 25, 2025",18,3
2025-11-01,Z2xkaNbY3YU,lidro larâgos | erupt like a hurricane,"Oct 25, 2025",18,3
2025-11-02,Z2xkaNbY3YU,lidro larâgos | erupt like a hurricane,"Oct 25, 2025",18,0
2025-11-03,Z2xkaNbY3YU,lidro larâgos | erupt like a hurricane,"Oct 25, 2025",18,0
2025-11-04,Z2xkaNbY3YU,lidro larâgos | erupt like a hurricane,"Oct 25, 2025",18,6
2025-11-05,Z2xkaNbY3YU,lidro larâgos | erupt like a hurricane,"Oct 25, 2025",18,2
2025-11-06,Z2xkaNbY3YU,lidro larâgos | erupt like a hurricane,"Oct 25, 2025",18,0
2025-11-07,Z2xkaNbY3YU,lidro larâgos | erupt like a hurricane,"Oct 25, 2025",18,1
2025-11-08,Z2xkaNbY3YU,lidro larâgos | erupt like a hurricane,"Oct 25, 2025",18,8
2025-11-09,Z2xkaNbY3YU,lidro larâgos | erupt like a hurricane,"Oct 25, 2025",18,0
2025-11-10,Z2xkaNbY3YU,lidro larâgos | erupt like a hurricane,"Oct 25, 2025",18,4
2025-11-11,Z2xkaNbY3YU,lidro larâgos | erupt like a hurricane,"Oct 25, 2025",18,0
2025-10-15,wK3uJ84RFC0,Lidro Larâgos – Noise Code Level 426,"Oct 18, 2025",21,0
2025-10-16,wK3uJ84RFC0,Lidro Larâgos – Noise Code Level 426,"Oct 18, 2025",21,0
2025-10-17,wK3uJ84RFC0,Lidro Larâgos – Noise Code Level 426,"Oct 18, 2025",21,115
2025-10-18,wK3uJ84RFC0,Lidro Larâgos – Noise Code Level 426,"Oct 18, 2025",21,170
2025-10-19,wK3uJ84RFC0,Lidro Larâgos – Noise Code Level 426,"Oct 18, 2025",21,16
2025-10-20,wK3uJ84RFC0,Lidro Larâgos – Noise Code Level 426,"Oct 18, 2025",21,0
2025-10-21,wK3uJ84RFC0,Lidro Larâgos – Noise Code Level 426,"Oct 18, 2025",21,10
2025-10-22,wK3uJ84RFC0,Lidro Larâgos – Noise Code Level 426,"Oct 18, 2025",21,2
2025-10-23,wK3uJ84RFC0,Lidro Larâgos – Noise Code Level 426,"Oct 18, 2025",21,0
2025-10-24,wK3uJ84RFC0,Lidro Larâgos – Noise Code Level 426,"Oct 18, 2025",21,0
2025-10-25,wK3uJ84RFC0,Lidro Larâgos – Noise Code Level 426,"Oct 18, 2025",21,0
2025-10-26,wK3uJ84RFC0,Lidro Larâgos – Noise Code Level 426,"Oct 18, 2025",21,0
2025-10-27,wK3uJ84RFC0,Lidro Larâgos – Noise Code Level 426,"Oct 18, 2025",21,3
2025-10-28,wK3uJ84RFC0,Lidro Larâgos – Noise Code Level 426,"Oct 18, 2025",21,0
2025-10-29,wK3uJ84RFC0,Lidro Larâgos – Noise Code Level 426,"Oct 18, 2025",21,0
2025-10-30,wK3uJ84RFC0,Lidro Larâgos – Noise Code Level 426,"Oct 18, 2025",21,1
2025-10-31,wK3uJ84RFC0,Lidro Larâgos – Noise Code Level 426,"Oct 18, 2025",21,0
2025-11-01,wK3uJ84RFC0,Lidro Larâgos – Noise Code Level 426,"Oct 18, 2025",21,5
2025-11-02,wK3uJ84RFC0,Lidro Larâgos – Noise Code Level 426,"Oct 18, 2025",21,0
2025-11-03,wK3uJ84RFC0,Lidro Larâgos – Noise Code Level 426,"Oct 18, 2025",21,0
2025-11-04,wK3uJ84RFC0,Lidro Larâgos – Noise Code Level 426,"Oct 18, 2025",21,1
2025-11-05,wK3uJ84RFC0,Lidro Larâgos – Noise Code Level 426,"Oct 18, 2025",21,5
2025-11-06,wK3uJ84RFC0,Lidro Larâgos – Noise Code Level 426,"Oct 18, 2025",21,0
2025-11-07,wK3uJ84RFC0,Lidro Larâgos – Noise Code Level 426,"Oct 18, 2025",21,0
2025-11-08,wK3uJ84RFC0,Lidro Larâgos – Noise Code Level 426,"Oct 18, 2025",21,3
2025-11-09,wK3uJ84RFC0,Lidro Larâgos – Noise Code Level 426,"Oct 18, 2025",21,0
2025-11-10,wK3uJ84RFC0,Lidro Larâgos – Noise Code Level 426,"Oct 18, 2025",21,1
2025-11-11,wK3uJ84RFC0,Lidro Larâgos – Noise Code Level 426,"Oct 18, 2025",21,0
2025-10-15,zvF3ifucdPA,before sack rupture (exper. resurrection / grok reels set-02 | 16s loop | visual rupture index 0.83),"Nov 10, 2025",17,0
2025-10-16,zvF3ifucdPA,before sack rupture (exper. resurrection / grok reels set-02 | 16s loop | visual rupture index 0.83),"Nov 10, 2025",17,0
2025-10-17,zvF3ifucdPA,before sack rupture (exper. resurrection / grok reels set-02 | 16s loop | visual rupture index 0.83),"Nov 10, 2025",17,0
2025-10-18,zvF3ifucdPA,before sack rupture (exper. resurrection / grok reels set-02 | 16s loop | visual rupture index 0.83),"Nov 10, 2025",17,0
2025-10-19,zvF3ifucdPA,before sack rupture (exper. resurrection / grok reels set-02 | 16s loop | visual rupture index 0.83),"Nov 10, 2025",17,0
2025-10-20,zvF3ifucdPA,before sack rupture (exper. resurrection / grok reels set-02 | 16s loop | visual rupture index 0.83),"Nov 10, 2025",17,0
2025-10-21,zvF3ifucdPA,before sack rupture (exper. resurrection / grok reels set-02 | 16s loop | visual rupture index 0.83),"Nov 10, 2025",17,0
2025-10-22,zvF3ifucdPA,before sack rupture (exper. resurrection / grok reels set-02 | 16s loop | visual rupture index 0.83),"Nov 10, 2025",17,0
2025-10-23,zvF3ifucdPA,before sack rupture (exper. resurrection / grok reels set-02 | 16s loop | visual rupture index 0.83),"Nov 10, 2025",17,0
2025-10-24,zvF3ifucdPA,before sack rupture (exper. resurrection / grok reels set-02 | 16s loop | visual rupture index 0.83),"Nov 10, 2025",17,0
2025-10-25,zvF3ifucdPA,before sack rupture (exper. resurrection / grok reels set-02 | 16s loop | visual rupture index 0.83),"Nov 10, 2025",17,0
2025-10-26,zvF3ifucdPA,before sack rupture (exper. resurrection / grok reels set-02 | 16s loop | visual rupture index 0.83),"Nov 10, 2025",17,0
2025-10-27,zvF3ifucdPA,before sack rupture (exper. resurrection / grok reels set-02 | 16s loop | visual rupture index 0.83),"Nov 10, 2025",17,0
2025-10-28,zvF3ifucdPA,before sack rupture (exper. resurrection / grok reels set-02 | 16s loop | visual rupture index 0.83),"Nov 10, 2025",17,0
2025-10-29,zvF3ifucdPA,before sack rupture (exper. resurrection / grok reels set-02 | 16s loop | visual rupture index 0.83),"Nov 10, 2025",17,0
2025-10-30,zvF3ifucdPA,before sack rupture (exper. resurrection / grok reels set-02 | 16s loop | visual rupture index 0.83),"Nov 10, 2025",17,0
2025-10-31,zvF3ifucdPA,before sack rupture (exper. resurrection / grok reels set-02 | 16s loop | visual rupture index 0.83),"Nov 10, 2025",17,0
2025-11-01,zvF3ifucdPA,before sack rupture (exper. resurrection / grok reels set-02 | 16s loop | visual rupture index 0.83),"Nov 10, 2025",17,0
2025-11-02,zvF3ifucdPA,before sack rupture (exper. resurrection / grok reels set-02 | 16s loop | visual rupture index 0.83),"Nov 10, 2025",17,0
2025-11-03,zvF3ifucdPA,before sack rupture (exper. resurrection / grok reels set-02 | 16s loop | visual rupture index 0.83),"Nov 10, 2025",17,0
2025-11-04,zvF3ifucdPA,before sack rupture (exper. resurrection / grok reels set-02 | 16s loop | visual rupture index 0.83),"Nov 10, 2025",17,0
2025-11-05,zvF3ifucdPA,before sack rupture (exper. resurrection / grok reels set-02 | 16s loop | visual rupture index 0.83),"Nov 10, 2025",17,0
2025-11-06,zvF3ifucdPA,before sack rupture (exper. resurrection / grok reels set-02 | 16s loop | visual rupture index 0.83),"Nov 10, 2025",17,0
2025-11-07,zvF3ifucdPA,before sack rupture (exper. resurrection / grok reels set-02 | 16s loop | visual rupture index 0.83),"Nov 10, 2025",17,0
2025-11-08,zvF3ifucdPA,before sack rupture (exper. resurrection / grok reels set-02 | 16s loop | visual rupture index 0.83),"Nov 10, 2025",17,0
2025-11-09,zvF3ifucdPA,before sack rupture (exper. resurrection / grok reels set-02 | 16s loop | visual rupture index 0.83),"Nov 10, 2025",17,0
2025-11-10,zvF3ifucdPA,before sack rupture (exper. resurrection / grok reels set-02 | 16s loop | visual rupture index 0.83),"Nov 10, 2025",17,2064
2025-11-11,zvF3ifucdPA,before sack rupture (exper. resurrection / grok reels set-02 | 16s loop | visual rupture index 0.83),"Nov 10, 2025",17,23
